Teams,Score,,,,
Bengaluru Blasters (R),1,,,,Bengaluru Blasters (R)
Hubli Tigers,2,,,,Hubli Tigers
Bijapur Bulls (C),3,,,,Bijapur Bulls (C)
Mysuru Warriors,4,,,,Mysuru Warriors
Belagavi Panthers,5,,,,Belagavi Panthers
Ballari Tuskers,6,,,,Ballari Tuskers
Shivamogga Lions,7,,,,Shivamogga Lions
