Teams,Score
Derbyshire Falcons,1
Durham,2
Lancashire Lightning,3
Leicestershire Foxes,4
Northamptonshire Steelbacks,5
Notts Outlaws (Nottinghamshire),6
Birmingham Bears(Warwickshire),7
Worcestershire Rapids,8
Yorkshire Vikings,9
