Teams,Score
Mumbai Indians,1
Chennai Super Kings,2
Delhi Capitals,3
Sunrisers Hyderabad,4
Kolkata Knight Riders,5
Kings XI Punjab,6
Rajasthan Royals,7
Royal Challengers Bangalore,8
